root@lamp-gbc-101137290:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
17:51:30.009713 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 1531416202:1531416330, ack 160592938, win 1452, length 128
17:51:30.009815 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 128:192, ack 1, win 1452, length 64
17:51:30.009905 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 192:320, ack 1, win 1452, length 128
17:51:30.009975 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 320:384, ack 1, win 1452, length 64
17:51:30.010203 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 384:576, ack 1, win 1452, length 192
17:51:30.010279 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 576:640, ack 1, win 1452, length 64
17:51:30.010377 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 640:816, ack 1, win 1452, length 176
17:51:30.010446 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 816:880, ack 1, win 1452, length 64
17:51:30.010545 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 880:1056, ack 1, win 1452, length 176
17:51:30.044619 IP 99.230.171.156.61808 > 159.203.2.107.22: Flags [.], ack 128, win 511, length 0
17:51:30.044673 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 1056:2560, ack 1, win 1452, length 1504
17:51:30.044700 IP 99.230.171.156.61808 > 159.203.2.107.22: Flags [.], ack 1056, win 508, length 0
17:51:30.044925 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 2560:2720, ack 1, win 1452, length 160
17:51:30.045013 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 2720:2784, ack 1, win 1452, length 64
17:51:30.045116 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 2784:2960, ack 1, win 1452, length 176
17:51:30.045187 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 2960:3024, ack 1, win 1452, length 64
17:51:30.045279 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 3024:3184, ack 1, win 1452, length 160
17:51:30.045348 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 3184:3248, ack 1, win 1452, length 64
17:51:30.045444 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 3248:3424, ack 1, win 1452, length 176
17:51:30.045603 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 3488:3664, ack 1, win 1452, length 176
17:51:30.045773 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 3728:3904, ack 1, win 1452, length 176
17:51:30.045933 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 3968:4144, ack 1, win 1452, length 176
17:51:30.046103 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 4208:4384, ack 1, win 1452, length 176
17:51:30.046355 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 4448:4624, ack 1, win 1452, length 176
17:51:30.057377 IP 99.230.171.156.61808 > 159.203.2.107.22: Flags [.], ack 3488, win 513, length 0
17:51:30.057428 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 4688:6128, ack 1, win 1452, length 1440
17:51:30.057459 IP 99.230.171.156.61808 > 159.203.2.107.22: Flags [.], ack 3904, win 511, length 0
17:51:30.057619 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 6128:6288, ack 1, win 1452, length 160
17:51:30.057702 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 6288:6352, ack 1, win 1452, length 64
17:51:30.057802 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 6352:6528, ack 1, win 1452, length 176
17:51:30.057872 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 6528:6592, ack 1, win 1452, length 64
17:51:30.057964 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 6592:6752, ack 1, win 1452, length 160
17:51:30.058031 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 6752:6816, ack 1, win 1452, length 64
17:51:30.058134 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 6816:6992, ack 1, win 1452, length 176
17:51:30.058380 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 7056:7232, ack 1, win 1452, length 176
17:51:30.058582 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 7296:7472, ack 1, win 1452, length 176
17:51:30.058746 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 7536:7712, ack 1, win 1452, length 176
17:51:30.058907 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 7776:7952, ack 1, win 1452, length 176
17:51:30.059066 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 8016:8192, ack 1, win 1452, length 176
17:51:30.071250 IP 99.230.171.156.61808 > 159.203.2.107.22: Flags [.], ack 4688, win 508, length 0
17:51:30.071287 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 8256:9696, ack 1, win 1452, length 1440
17:51:30.071477 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 9696:9968, ack 1, win 1452, length 272
17:51:30.071629 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 9968:10144, ack 1, win 1452, length 176
17:51:30.071741 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 10144:10320, ack 1, win 1452, length 176
17:51:30.071844 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 10320:10496, ack 1, win 1452, length 176
17:51:30.071946 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 10496:10672, ack 1, win 1452, length 176
17:51:30.072048 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 10672:10848, ack 1, win 1452, length 176
17:51:30.072207 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 10848:11024, ack 1, win 1452, length 176
17:51:30.135728 IP 99.230.171.156.61808 > 159.203.2.107.22: Flags [.], ack 7712, win 513, length 0
17:51:30.135804 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 11024:11200, ack 1, win 1452, length 176
17:51:30.135834 IP 99.230.171.156.61808 > 159.203.2.107.22: Flags [.], ack 11024, win 511, length 0
17:51:30.136170 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 11200:11584, ack 1, win 1452, length 384
17:51:30.136319 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 11584:11760, ack 1, win 1452, length 176
17:51:30.136441 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 11760:11936, ack 1, win 1452, length 176
17:51:30.136624 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 11936:12112, ack 1, win 1452, length 176
17:51:30.136746 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 12112:12288, ack 1, win 1452, length 176
17:51:30.136865 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 12288:12464, ack 1, win 1452, length 176
17:51:30.137014 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 12464:12640, ack 1, win 1452, length 176
17:51:30.137129 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 12640:12816, ack 1, win 1452, length 176
17:51:30.137260 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 12816:12992, ack 1, win 1452, length 176
17:51:30.137383 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 12992:13168, ack 1, win 1452, length 176
17:51:30.137504 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 13168:13344, ack 1, win 1452, length 176
17:51:30.137627 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 13344:13520, ack 1, win 1452, length 176
17:51:30.137759 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 13520:13696, ack 1, win 1452, length 176
17:51:30.137874 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 13696:13872, ack 1, win 1452, length 176
17:51:30.137995 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 13872:14048, ack 1, win 1452, length 176
17:51:30.138115 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 14048:14224, ack 1, win 1452, length 176
17:51:30.138273 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 14224:14400, ack 1, win 1452, length 176
17:51:30.138401 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 14400:14576, ack 1, win 1452, length 176
17:51:30.138522 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 14576:14752, ack 1, win 1452, length 176
17:51:30.138640 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 14752:14928, ack 1, win 1452, length 176
17:51:30.138746 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 14928:15104, ack 1, win 1452, length 176
17:51:30.138861 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 15104:15280, ack 1, win 1452, length 176
17:51:30.138971 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 15280:15456, ack 1, win 1452, length 176
17:51:30.139070 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 15456:15632, ack 1, win 1452, length 176
17:51:30.139183 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 15632:15808, ack 1, win 1452, length 176
17:51:30.139293 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 15808:15984, ack 1, win 1452, length 176
17:51:30.139417 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 15984:16160, ack 1, win 1452, length 176
17:51:30.139519 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 16160:16336, ack 1, win 1452, length 176
17:51:30.252656 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 16336:16512, ack 1, win 1452, length 176
17:51:30.345975 IP 99.230.171.156.61808 > 159.203.2.107.22: Flags [.], ack 14224, win 513, length 0
17:51:30.346071 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 16512:16688, ack 1, win 1452, length 176
17:51:30.346108 IP 99.230.171.156.61808 > 159.203.2.107.22: Flags [.], ack 16336, win 513, length 0
17:51:30.346449 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 16688:17072, ack 1, win 1452, length 384
17:51:30.346581 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 17072:17248, ack 1, win 1452, length 176
17:51:30.346685 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 17248:17424, ack 1, win 1452, length 176
17:51:30.346785 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 17424:17600, ack 1, win 1452, length 176
17:51:30.346934 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 17600:17776, ack 1, win 1452, length 176
17:51:30.347058 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 17776:17952, ack 1, win 1452, length 176
17:51:30.347204 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 17952:18128, ack 1, win 1452, length 176
17:51:30.347353 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 18128:18304, ack 1, win 1452, length 176
17:51:30.347462 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 18304:18480, ack 1, win 1452, length 176
17:51:30.347561 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 18480:18656, ack 1, win 1452, length 176
17:51:30.347659 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 18656:18832, ack 1, win 1452, length 176
17:51:30.347756 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 18832:19008, ack 1, win 1452, length 176
17:51:30.347881 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 19008:19184, ack 1, win 1452, length 176
17:51:30.348020 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 19184:19360, ack 1, win 1452, length 176
17:51:30.348159 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 19360:19536, ack 1, win 1452, length 176
17:51:30.348262 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 19536:19712, ack 1, win 1452, length 176
17:51:30.348371 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 19712:19888, ack 1, win 1452, length 176
17:51:30.348469 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 19888:20064, ack 1, win 1452, length 176
17:51:30.348612 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 20064:20240, ack 1, win 1452, length 176
17:51:30.348719 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 20240:20416, ack 1, win 1452, length 176
17:51:30.348831 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 20416:20592, ack 1, win 1452, length 176
17:51:30.348970 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 20592:20768, ack 1, win 1452, length 176
17:51:30.349077 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 20768:20944, ack 1, win 1452, length 176
17:51:30.349175 IP 159.203.2.107.22 > 99.230.171.156.61808: Flags [P.], seq 20944:21120, ack 1, win 1452, length 176
